epoch,phase,accuracy,loss
1,Validation,0.499542236328125,0.8137194331502542
2,Validation,0.500457763671875,0.8128038604045287
3,Validation,0.500457763671875,0.8128038604045287
4,Validation,0.499542236328125,0.8137194331502542
5,Validation,0.500457763671875,0.8128038604045287
6,Validation,0.500457763671875,0.8128038604045287
7,Validation,0.500457763671875,0.8128038604045287
8,Validation,0.499542236328125,0.8137194331502542
9,Validation,0.500457763671875,0.8128038604045287
10,Validation,0.499542236328125,0.8137194331502542
11,Validation,0.499542236328125,0.8137194331502542
12,Validation,0.499542236328125,0.8137194331502542
13,Validation,0.500457763671875,0.8128038604045287
14,Validation,0.500457763671875,0.8128038604045287
15,Validation,0.500457763671875,0.8128038604045287
16,Validation,0.499542236328125,0.8137194331502542
17,Validation,0.500457763671875,0.8128038604045287
18,Validation,0.500457763671875,0.8128038604627363
19,Validation,0.499542236328125,0.8137194331502542
20,Validation,0.500457763671875,0.8128038604045287
21,Validation,0.500457763671875,0.8128038604045287
22,Validation,0.500457763671875,0.8128038604045287
23,Validation,0.499542236328125,0.8137194331502542
24,Validation,0.500457763671875,0.8128038604045287
1,Training,0.5002784729003906,0.8126346823264612
2,Training,0.499237060546875,0.8136508943862282
3,Training,0.5012702941894531,0.8115302941732807
4,Training,0.5014839172363281,0.8112914086523233
5,Training,0.500518798828125,0.812397402653005
6,Training,0.4997749328613281,0.8129085824475624
7,Training,0.498565673828125,0.8141016462177504
8,Training,0.4977684020996094,0.8150225974823115
9,Training,0.4998016357421875,0.8130153972597327
10,Training,0.4984588623046875,0.8143429421033943
11,Training,0.4996223449707031,0.8134005620959215
12,Training,0.499114990234375,0.813726613559993
13,Training,0.5003242492675781,0.8125113752903417
14,Training,0.5014266967773438,0.8114211946376599
15,Training,0.500823974609375,0.8118880281253951
16,Training,0.500640869140625,0.8123155179055175
17,Training,0.49787139892578125,0.8149661115166964
18,Training,0.5007247924804688,0.8120796185248764
19,Training,0.49964141845703125,0.8132685546588618
20,Training,0.49965667724609375,0.8130403628019849
21,Training,0.5002822875976562,0.8124511917558266
22,Training,0.5013351440429688,0.8111348246166017
23,Training,0.4991950988769531,0.8136672861728584
24,Training,0.4996223449707031,0.8130026481230743
